train_size,model,accuracy_1,accuracy_2,accuracy_3
1.0,Baseline,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,Vapnik,0.9333333333333333,0.9333333333333333,0.9333333333333333
1.0,Projections,0.9333333333333333,0.9333333333333333,0.9333333333333333
1.0,Hyperplanes,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.5,Baseline,0.9,0.9,0.9
0.5,Vapnik,0.8666666666666667,0.8666666666666667,0.8666666666666667
0.5,Projections,0.9,0.9666666666666667,0.9333333333333333
0.5,Hyperplanes,0.9333333333333333,0.9666666666666667,0.9333333333333333
0.1,Baseline,0.9,0.9,0.9
0.1,Vapnik,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.1,Projections,0.4666666666666667,0.4,0.5
0.1,Hyperplanes,0.8,0.7333333333333333,0.7333333333333333
1.0,Baseline,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,Vapnik,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,Projections,0.9666666666666667,0.9666666666666667,0.9333333333333333
1.0,Hyperplanes,0.9333333333333333,0.9666666666666667,0.6
0.5,Baseline,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.5,Vapnik,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.5,Projections,0.9666666666666667,0.9666666666666667,0.9333333333333333
0.5,Hyperplanes,0.9666666666666667,1.0,1.0
0.1,Baseline,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.1,Vapnik,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.1,Projections,0.9666666666666667,0.9333333333333333,0.9333333333333333
0.1,Hyperplanes,0.9333333333333333,0.7666666666666667,0.9666666666666667
1.0,Baseline,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,Vapnik,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,Projections,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,Hyperplanes,0.9333333333333333,0.9666666666666667,0.7666666666666667
0.5,Baseline,0.9666666666666667,0.9666666666666667,0.9666666666666667
0.5,Vapnik,0.9666666666666667,0.9666666666666667,0.9666666666666667
0.5,Projections,0.9666666666666667,0.9666666666666667,0.9666666666666667
0.5,Hyperplanes,0.9666666666666667,0.8333333333333334,0.9333333333333333
0.1,Baseline,0.9666666666666667,0.9666666666666667,0.9666666666666667
0.1,Vapnik,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.1,Projections,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.1,Hyperplanes,0.9,0.9666666666666667,0.8333333333333334
